Date,Open,High,Low,Close,Adj Close,Volume,close-open,increase yes or no,50day moving average,50 moving day average,100 day moving average,100 day moving average beat,AMD News,Quarterly earnings
2018-12-11,20.709999,21.139999,19.690001,19.98,19.98,88027400,-0.729999,no,0.3996,No,0.1998,No,No,No
2018-12-12,20.32,21.02,19.709999,20.48,20.48,100340700,0.16,yes,0.8092,No,0.4046,No,No,No
2018-12-13,20.629999,20.870001,19.76,19.860001,19.860001,88108300,-0.769998,no,1.20640002,No,0.60320001,No,No,No
2018-12-14,19.58,20.700001,19.52,19.9,19.9,84713600,0.32,yes,1.60440002,No,0.80220001,No,No,No
2018-12-17,20.01,20.02,18.639999,18.83,18.83,115437900,-1.18,no,1.98100002,No,0.99050001,No,No,No
2018-12-18,19.15,19.84,18.879999,19.5,19.5,101512900,0.35,yes,2.37100002,No,1.18550001,No,No,No
2018-12-19,19.440001,19.719999,18,18.16,18.16,120644500,-1.280001,no,2.73420002,No,1.36710001,No,No,No
2018-12-20,18.110001,18.860001,17.34,17.940001,17.940001,119394500,-0.17,no,3.09300004,No,1.54650002,No,No,No
2018-12-21,18.120001,18.34,16.76,16.93,16.93,132246000,-1.190001,no,3.43160004,No,1.71580002,No,No,No
2018-12-24,16.52,17.219999,16.370001,16.65,16.65,62933100,0.13,yes,3.76460004,No,1.88230002,No,No,No
2018-12-26,16.879999,17.91,16.030001,17.9,17.9,108811800,1.020001,yes,4.12260004,No,2.06130002,No,No,No
2018-12-27,17.43,17.74,16.440001,17.49,17.49,111373000,0.06,yes,4.47240004,No,2.23620002,No,No,No
2018-12-28,17.530001,18.309999,17.139999,17.82,17.82,109214400,0.289999,yes,4.82880004,No,2.41440002,No,No,No
2018-12-31,18.15,18.51,17.85,18.459999,18.459999,84732200,0.309999,yes,5.19800002,No,2.59900001,No,No,No
2019-01-02,18.01,19,17.98,18.83,18.83,87148700,0.82,yes,5.57460002,No,2.78730001,No,Yes,No
2019-01-03,18.42,18.68,16.940001,17.049999,17.049999,117277600,-1.370001,no,5.9156,No,2.9578,No,No,No
2019-01-04,17.549999,19.07,17.43,19,19,111878600,1.450001,yes,6.2956,No,3.1478,No,No,No
2019-01-07,19.440001,20.68,19,20.57,20.57,107157000,1.129999,yes,6.707,No,3.3535,No,No,No
2019-01-08,21.190001,21.200001,19.68,20.75,20.75,121271000,-0.440001,no,7.122,No,3.561,No,No,No
2019-01-09,20.889999,21.440001,20.07,20.190001,20.190001,163944100,-0.699998,no,7.52580002,No,3.76290001,No,Yes,No
2019-01-10,19.76,19.83,18.9,19.74,19.74,115629400,-0.02,no,7.92060002,No,3.96030001,No,No,No
2019-01-11,19.469999,20.35,19.190001,20.27,20.27,85110800,0.800001,yes,8.32600002,No,4.16300001,No,No,No
2019-01-14,19.959999,20.620001,19.75,20.23,20.23,71350200,0.270001,yes,8.73060002,No,4.36530001,No,No,No
2019-01-15,20.440001,20.68,20.26,20.379999,20.379999,62785800,-0.060002,no,9.1382,No,4.5691,No,No,No
2019-01-16,20.4,20.540001,19.709999,19.73,19.73,70849300,-0.67,no,9.5328,No,4.7664,No,Yes,No
